hip_id,ra_degrees,dec_degrees,magnitude
5348,17.0961,-55.2458,3.94
5361,17.1394,58.2635,5.77
5364,17.1469,-10.1819,3.46
5372,17.184,86.2571,4.24
5412,17.3012,80.0117,6.24
5434,17.3755,47.2418,4.26
5447,17.4325,35.6208,2.07
5454,17.455,19.6584,5.57
5477,17.5307,-57.6941,6.41
5483,17.5476,15.674,6.07
5485,17.5498,-8.906,6.4
5493,17.5785,42.0816,5.67
5494,17.581,25.458,5.81
5510,17.6398,2.4457,5.97
5518,17.6636,68.7787,5.32
5542,17.7747,55.1499,4.34
5544,17.7782,31.4248,5.15
5550,17.7929,37.7241,5.8
5566,17.8563,64.2027,5.56
5571,17.8633,21.0347,4.66
5575,17.8707,10.2919,6.49
5586,17.9149,30.0897,4.51
5589,17.9224,65.0189,5.57
5594,17.9314,-2.251,5.93
5626,18.0688,79.674,5.6
5650,18.1419,45.3375,6.13
5661,18.189,-37.8564,5.95
5679,18.2477,30.0643,6.24
5688,18.2909,61.7062,6.4
5737,18.4325,7.5755,5.21
5742,18.4372,24.5838,4.67
5743,18.4382,7.5784,6.44
5772,18.5203,28.5297,6.33
5778,18.5319,16.1335,5.97
5799,18.5999,-7.9235,5.14
5824,18.6767,6.9952,6.04
5833,18.7049,-0.9743,5.7
5862,18.794,-45.5321,4.97
5896,18.9396,-68.8762,4.25
5926,19.0496,71.7438,5.87
5928,19.0525,87.1455,6.2
5936,19.0788,33.1148,6.04
5947,19.1293,79.9099,6.27
5951,19.1514,-2.5002,5.42
5992,19.2653,-66.3979,6.23
5993,19.2711,44.9021,6.11
6025,19.3506,31.7446,6.36
6061,19.4499,3.6145,5.13
6087,19.5423,47.4197,6.29
6093,19.5579,57.8032,6.39
6140,19.6959,37.3863,6.44
6193,19.8666,27.2641,4.74
6226,19.9512,-0.509,5.87
6242,20.0205,58.2316,4.95
6261,20.081,77.5705,6.31
6272,20.116,-11.2388,6.16
6283,20.1441,-3.247,6.26
6312,20.2716,64.6582,6.33
6315,20.2806,28.7384,5.23
6378,20.4956,76.2389,6.37
6411,20.585,45.5288,4.87
6427,20.6272,-19.081,6.35
6429,20.6451,-0.4496,6.5
6432,20.6538,1.7264,6.21
6486,20.8386,58.1432,6.36
6492,20.854,20.469,5.97
6502,20.879,-30.9455,5.84
6512,20.9055,34.2456,6.28
6514,20.919,37.715,5.6
6522,20.9451,78.726,6.07
6537,21.006,-8.1828,3.6
6539,21.0101,-8.0073,6.21
6564,21.0854,-6.9147,5.92
6589,21.1663,-15.6604,6.17
6592,21.1699,-41.4925,5.42
6595,21.1747,-44.5285,6.26
6605,21.2028,-2.8485,6.17
6631,21.272,-64.3694,5.92
6669,21.3986,23.5116,6.18
6670,21.405,-14.5988,4.9
6685,21.4429,70.9799,6.34
6686,21.4525,60.2354,2.66
6687,21.468,-3.9273,6.5
6692,21.4829,68.1299,4.72
6702,21.5359,34.5799,6.34
6706,21.5637,19.1723,5.35
6711,21.5775,43.4579,5.98
6714,21.5982,20.0709,6.44
6717,21.6138,-0.399,6.42
6732,21.6735,19.2406,5.5
6748,21.7148,-13.0565,5.51
6776,21.7759,34.3776,6.27
6789,21.8471,-22.338,6.43
6794,21.8611,41.1011,6.42
6813,21.9129,45.407,4.83
6822,21.9435,-10.9016,6.13
6867,22.0914,-43.3177,3.41
6868,22.0952,7.9614,6.22
6952,22.3772,-46.7565,6.25
6960,22.4004,-21.6293,5.11
6971,22.4283,-25.6178,6.37
6981,22.4701,18.3557,6.01
6999,22.5254,47.0074,5.27
7007,22.5456,6.1439,4.84
7016,22.5953,-26.2079,5.92
7050,22.7167,66.0981,6.15
7078,22.8063,70.2648,5.82
7083,22.8124,-49.0731,3.93
7097,22.8708,15.3458,3.62
7115,22.9126,-45.5757,6.17
7118,22.9302,-30.2829,5.79
7147,23.0316,34.8,6.39
7189,23.1516,-49.7275,6.27
7213,23.2336,-36.8652,5.49
7243,23.3261,8.2088,6.31
7251,23.3571,58.3273,5.69
7271,23.4136,-78.5045,6.11
7276,23.4281,-7.0251,5.75
7283,23.4521,89.0157,6.46
7294,23.483,59.2321,4.68
7321,23.5692,37.2372,5.9
7345,23.6572,-15.6764,5.62
7359,23.7044,18.4607,5.9
7361,23.7118,-31.8922,6.11
7362,23.7138,-3.5238,6.44
7363,23.7148,-23.6997,6.41
